,method,model,best_params,train_accuracy,test_accuracy,precision,recall,f1_score,kappa,confusion_matrix,runtime,best model
0,orginal,NearestCentroid,"{'metric': 'euclidean', 'shrink_threshold': 0.7}",0.9036144578313253,0.9523809523809523,0.9603174603174603,0.9523809523809523,0.9537774053903088,0.8771929824561403,[15  1  0  5],1.1897187232971191,NearestCentroid(shrink_threshold=0.7)
1,orginal,KNeighborsClassifier,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.9518072289156626,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.22490453720092773,"KNeighborsClassifier(metric='euclidean', n_neighbors=9)"
2,orginal,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2}",1.0,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.1746366024017334,DecisionTreeClassifier(max_depth=20)
3,orginal,LogisticRegression,"{'C': 1, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.9759036144578314,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.2459874153137207,"LogisticRegression(C=1, penalty='l1', solver='liblinear')"
4,orginal,MLPClassifier,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'max_iter': 400, 'solver': 'sgd'}",0.963855421686747,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],31.53555703163147,"MLPClassifier(hidden_layer_sizes=(50,), learning_rate='adaptive', max_iter=400,
              solver='sgd')"
5,orginal,GaussianNB,{'var_smoothing': 1e-09},0.9156626506024096,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.03014993667602539,GaussianNB()
6,orginal,Perceptron,"{'alpha': 0.1, 'max_iter': 1000, 'penalty': 'l1'}",0.6867469879518072,0.7142857142857143,0.8701298701298702,0.7142857142857143,0.7348901098901099,0.4424778761061947,[10  6  0  5],0.12949252128601074,"Perceptron(alpha=0.1, penalty='l1')"
7,orginal,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",1.0,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],13.268216371536255,RandomForestClassifier(n_estimators=50)
8,orginal,SVC,"{'C': 0.1, 'coef0': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",0.9518072289156626,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],5.830272912979126,"SVC(C=0.1, coef0=0.1, degree=4, kernel='poly')"
9,standard_scaled,NearestCentroid,"{'metric': 'euclidean', 'shrink_threshold': 0.7}",0.8433734939759037,0.9523809523809523,0.9603174603174603,0.9523809523809523,0.9537774053903088,0.8771929824561403,[15  1  0  5],0.04287910461425781,NearestCentroid(shrink_threshold=0.7)
